City,Bussiness num
Las Vegas,24768
Phoenix,15656
Toronto,15483
Charlotte,7557
Scottsdale,7510
Pittsburgh,5688
Montr̩al,5175
Mesa,5146
Henderson,4130
Tempe,3949
Chandler,3649
Edinburgh,3625
Cleveland,2979
Madison,2891
Glendale,2841
Gilbert,2835
Mississauga,2316
Stuttgart,1975
Peoria,1527
Markham,1390
North Las Vegas,1254
Champaign,1084
North York,944
Surprise,934
Scarborough,870
Richmond Hill,770
Concord,726
Goodyear,703
Brampton,690
Vaughan,650
Etobicoke,592
Matthews,583
Avondale,573
Oakville,540
Huntersville,503
Fort Mill,483
Lakewood,449
Cornelius,369
Urbana,355
Gastonia,353
Mentor,351
Cave Creek,335
Monroeville,316
Westlake,311
North Olmsted,310
Thornhill,296
Laval,293
Strongsville,289
Middleton,288
Fountain Hills,278
Pineville,273
Whitby,266
Aurora,258
Cuyahoga Falls,257
Boulder City,248
Newmarket,240
Medina,236
Pickering,229
Beachwood,229
Montreal,229
Wexford,223
Kent,223
Rocky River,206
Ajax,206
Indian Trail,206
Parma,206
Willoughby,193
Ludwigsburg,191
Sun Prairie,189
Sun City,188
Stow,182
Litchfield Park,181
Solon,179
Cleveland Heights,179
Woodbridge,179
Inverness,174
Fitchburg,174
Avon,168
Hudson,159
Bridgeville,150
Coraopolis,146
Chagrin Falls,143
Verona,142
Bethel Park,139
Brossard,136
Canonsburg,127
Verdun,127
Elyria,126
Mayfield Heights,125
Brunswick,124
Belmont,123
B̦blingen,121
Sindelfingen,120
East York,119
Kannapolis,119
Waxhaw,119
Fairlawn,119
Laveen,115
Homestead,113
Tolleson,112
Streetsboro,112
Paradise Valley,112
West Mifflin,110
Esslingen,109
Monona,108
Saint-Laurent,107
Independence,106
North Royalton,101
Twinsburg,98
Harrisburg,96
Irwin,96
Middleburg Heights,95
Avon Lake,94
Fellbach,93
MESA,93
Sewickley,93
El Mirage,92
Lyndhurst,91
Gibsonia,91
Anthem,91
York,89
Berea,89
Broadview Heights,88
Painesville,87
Murrysville,86
Macedonia,86
Bedford,85
Stoughton,84
Carnegie,82
Lorain,81
Davidson,81
Leinfelden-Echterdingen,78
Fairview Park,78
Carefree,77
Westmount,76
San Tan Valley,76
Pointe-Claire,75
Mint Hill,75
Euclid,73
Northfield,72
Sun City West,72
North Ridgeville,71
Allison Park,69
Dorval,69
South Euclid,68
McMurray,67
Savoy,67
Waunakee,67
Amherst,66
Brooklyn,62
Lasalle,61
New Kensington,60
Brecksville,59
Dollard-Des-Ormeaux,59
Oregon,58
Woodmere,57
Filderstadt,53
McKees Rocks,52
Parma Heights,50
Chesterland,49
Shaker Heights,49
Waiblingen,48
Longueuil,48
Saint-Sauveur,47
Ostfildern,47
Maple,46
Tallmadge,46
Willowick,46
Eastlake,45
McKeesport,45
North Versailles,45
Stouffville,45
Chardon,44
Youngtown,43
Dollard-des-Ormeaux,42
Leonberg,42
Brook Park,41
North Huntingdon,41
Olmsted Falls,41
Oakmont,40
Mount Horeb,40
Indian Land,40
Vaudreuil-Dorion,39
Frazer,38
Lachine,37
Dunfermline,37
Glenshaw,37
Willoughby Hills,37
Unionville,36
Garfield Heights,36
Mount Holly,36
Whitchurch-Stouffville,35
Georgetown,35
Rantoul,35
Pierrefonds,34
Mahomet,34
Livingston,34
Richfield,34
Outremont,34
Wickliffe,34
Mc Kees Rocks,33
Bay Village,33
Warrensville Heights,33
Bellevue,33
Saint-Leonard,32
Lake Wylie,32
Olivos,32
Oakdale,31
University Heights,31
Pleasant Hills,31
Highland Heights,30
Kornwestheim,29
Moon Township,29
Maple Heights,29
Kirkland,29
las vegas,28
Ambridge,28
Middlefield,28
Cottage Grove,27
Copley,27
Monticello,27
Mc Farland,26
Tuscola,25
Seven Hills,25
Gerlingen,25
Sheffield Village,24
Paradise,24
De Forest,24
Peninsula,23
McFarland,23
Boucherville,23
Elizabeth,23
Dallas,23
Penn Hills,22
White Oak,22
N Las Vegas,22
Tega Cay,22
Bolton,22
Ditzingen,22
Munhall,21
Robinson Township,21
Sun Lakes,21
Valley View,20
Musselburgh,20
Fairview,20
Saint-Lambert,20
Guadalupe,20
Higley,20
Kirkcaldy,19
Burton,19
WICKLIFFE,19
Cross Plains,19
East Gwillimbury,18
Stallings,18
Saint-Jean-sur-Richelieu,18
Pepper Pike,18
Cheswick,18
Saint-Hubert,17
West Homestead,17
DeForest,17
Aspinwall,17
Caledon,17
Bedford Heights,17
Bradford,16
Mount Lebanon,16
Wesley Chapel,16
Mont-Royal,16
Ahwatukee,16
Bradford West Gwillimbury,16
Richmond Heights,15
